,row_id,seqlane_id,plate,ROW,COL,TopHitAccession,NextHit,ThirdHit,Score,label,lines,Site,position,row,col,id,match
266,714,CDN24ANXX_2#,144,A,1,6046,6043,6900,0.997193915226702,3512,6046,Ullstorp,11.4,A,1,3512,True
368,714,CDN24ANXX_2#,144,B,1,6126,6115,6106,0.9992716678805535,2447,6126,Ullstorp,10.4,B,1,2447,True
241,714,CDN24ANXX_2#,144,C,1,9452,9451,9450,1.0,3898,9452,Ratch,1.6,C,1,3898,True
277,714,CDN24ANXX_2#,144,D,1,8241,9970,10013,1.0,2035,8241,Ullstorp,4.5,D,1,2035,True
470,714,CDN24ANXX_2#,144,E,1,9452,9451,9974,0.9990215264187868,2274,9452,Ullstorp,4.3,E,1,2274,True
295,714,CDN24ANXX_2#,144,F,1,6180,7127,7413,0.9985007496251874,1253,6180,Ramsta,8.6,F,1,1253,True
240,714,CDN24ANXX_2#,144,G,1,6231,9433,6069,0.9984811087905828,2570,6231,Ullstorp,2.3,G,1,2570,True
252,714,CDN24ANXX_2#,144,H,1,9452,9451,9450,0.9967469095640858,3675,9452,Ratch,10.5,H,1,3675,True
314,715,CDN24ANXX_2#,144,A,2,6231,9433,6069,0.996078431372549,2006,6231,Adal,6.1,A,2,2006,True
14,715,CDN24ANXX_2#,144,B,2,6237,6241,6235,0.9990044798407168,2095,6237,Ullstorp,6.5,B,2,2095,True
145,715,CDN24ANXX_2#,144,C,2,9452,9451,9450,0.9985291027526793,2781,9452,Ratch,6.4,C,2,2781,True
349,715,CDN24ANXX_2#,144,D,2,6126,6115,6106,0.99721082854799,1919,6126,Adal,11.3,D,2,1919,True
301,715,CDN24ANXX_2#,144,E,2,6126,6115,6106,0.9966200645260408,3812,6126,Ratch,2.5,E,2,3812,True
290,715,CDN24ANXX_2#,144,F,2,9470,9970,9974,0.9979368681658758,1988,9470,Adal,5.1,F,2,1988,True
196,715,CDN24ANXX_2#,144,G,2,9452,9451,9450,0.9984937490585932,1726,9452,Adal,9.5,G,2,1726,True
173,715,CDN24ANXX_2#,144,H,2,9452,9451,9450,0.99875400498398,4076,9452,Ratch,8.5,H,2,4076,True
79,716,CDN24ANXX_2#,144,A,3,9470,9970,9974,0.998723093761401,1777,9470,Adal,9.1,A,3,1777,True
71,716,CDN24ANXX_2#,144,B,3,6191,6198,6188,0.9920774647887324,206,6191,Ramsta,9.1,B,3,206,True
57,716,CDN24ANXX_2#,144,C,3,8241,9970,9974,0.9971695442966316,3639,8241,Ratch,5.4,C,3,3639,True
377,716,CDN24ANXX_2#,144,D,3,6180,7127,7413,0.9969192852741836,1658,6180,Ramsta,1.4,D,3,1658,True
393,716,CDN24ANXX_2#,144,E,3,6126,6115,6106,0.997843982751862,2642,6126,Ratch,8.3,E,3,2642,True
191,716,CDN24ANXX_2#,144,F,3,6043,6046,6900,0.9966094032549728,1961,6046,Adal,4.6,F,3,1961,True
463,716,CDN24ANXX_2#,144,G,3,6191,6192,9970,0.9977585654819084,33,6191,Ramsta,8.1,G,3,33,True
350,716,CDN24ANXX_2#,144,H,3,9388,6221,9332,0.997375902033676,179,6237,Ramsta,11.6,H,3,179,False
367,718,CDN24ANXX_3#,144,A,4,9452,9451,9450,0.998742590264056,463,9452,Ramsta,7.1,A,4,463,True
43,718,CDN24ANXX_3#,144,B,4,8227,6043,6046,0.997743447318174,1732,8227,Adal,5.4,B,4,1732,True
381,718,CDN24ANXX_3#,144,C,4,6231,9433,6069,0.9954891457569778,2223,6231,Ullstorp,7.5,C,4,2223,True
157,718,CDN24ANXX_3#,144,D,4,8227,6043,6046,1.0,3870,8227,Ratch,6.2,D,4,3870,True
129,718,CDN24ANXX_3#,144,E,4,6237,6241,6235,0.9980353634577604,2640,6237,Ratch,6.2,E,4,2640,True
315,718,CDN24ANXX_3#,144,F,4,9452,9451,9450,0.990080122090805,3222,9452,Ullstorp,10.6,F,4,3222,True
471,718,CDN24ANXX_3#,144,G,4,6180,7127,7413,0.9961127308066084,3510,6180,Ullstorp,8.6,G,4,3510,True
271,718,CDN24ANXX_3#,144,H,4,5856,6071,6238,0.9982615414332624,2623,5856,Ratch,4.4,H,4,2623,True
305,719,CDN24ANXX_3#,144,A,5,9470,9970,9974,0.9948696471573656,3894,9470,Ratch,5.4,A,5,3894,True
124,719,CDN24ANXX_3#,144,B,5,6180,7127,7413,0.9978813559322034,2087,6180,Ullstorp,9.6,B,5,2087,True
12,719,CDN24ANXX_3#,144,C,5,5856,6071,6238,0.9631168831168831,2818,5856,Ratch,2.6,C,5,2818,True
396,719,CDN24ANXX_3#,144,D,5,6231,9433,6069,0.9979460093896714,3703,6231,Ratch,2.5,D,5,3703,True
34,719,CDN24ANXX_3#,144,E,5,9470,9970,9974,0.9978586723768736,3590,9470,Ullstorp,5.1,E,5,3590,True
374,719,CDN24ANXX_3#,144,F,5,6237,6241,6235,0.9958233135046196,3594,6237,Ullstorp,11.6,F,5,3594,True
171,719,CDN24ANXX_3#,144,G,5,6104,8335,6091,0.9963372402770378,2591,6104,Ratch,4.5,G,5,2591,True
55,719,CDN24ANXX_3#,144,H,5,6126,6115,6106,0.9969415362898484,4040,6126,Ratch,10.2,H,5,4040,True
212,720,CDN24ANXX_3#,144,A,6,6126,6115,6106,0.9964236042121994,2933,6126,Ratch,4.3,A,6,2933,True
431,720,CDN24ANXX_3#,144,B,6,8227,6043,6046,0.9971106616584802,2071,8227,Ullstorp,9.2,B,6,2071,True
363,720,CDN24ANXX_3#,144,C,6,6126,6106,6115,0.9973434535104364,3668,6126,Ratch,7.4,C,6,3668,True
468,720,CDN24ANXX_3#,144,D,6,6046,6043,6900,0.9981132075471698,4068,6046,Ratch,1.3,D,6,4068,True
418,720,CDN24ANXX_3#,144,E,6,8241,9970,9974,0.9991593106347204,777,8241,Adal,7.2,E,6,777,True
117,720,CDN24ANXX_3#,144,F,6,9452,9451,9450,0.9972216285531096,900,9452,Adal,1.6,F,6,900,True
15,720,CDN24ANXX_3#,144,G,6,6104,8335,6091,0.9956785677538842,2324,6104,Ullstorp,7.2,G,6,2324,True
297,720,CDN24ANXX_3#,144,H,6,8227,6043,6046,0.9979685119349924,2262,8227,Ullstorp,9.6,H,6,2262,True
302,721,CDN24ANXX_4#,144,A,7,6109,9969,9970,0.9974466532919934,1490,6231,Ramsta,6.6,A,7,1490,False
6,721,CDN24ANXX_4#,144,B,7,6104,8335,6091,0.996722575669944,494,6104,Ramsta,5.3,B,7,494,True
35,721,CDN24ANXX_4#,144,C,7,6237,6241,6071,0.9981470043236566,256,6237,Adal,11.5,C,7,256,True
89,721,CDN24ANXX_4#,144,D,7,6237,6241,6235,0.996464869642068,2492,6237,Ullstorp,11.6,D,7,2492,True
292,721,CDN24ANXX_4#,144,E,7,6191,6198,6192,0.9961027051811095,111,6191,Ramsta,9.5,E,7,111,True
390,721,CDN24ANXX_4#,144,F,7,6046,6043,6900,0.99868622728268,3667,6046,Ratch,3.5,F,7,3667,True
323,721,CDN24ANXX_4#,144,G,7,8241,9970,9974,0.99832285115304,4008,8241,Ratch,11.4,G,7,4008,True
477,721,CDN24ANXX_4#,144,H,7,8227,6043,6046,0.9984047402005468,1964,8227,Adal,1.3,H,7,1964,True
204,722,CDN24ANXX_4#,144,A,8,9452,9451,9974,1.0,3127,9452,Ratch,9.1,A,8,3127,True
449,722,CDN24ANXX_4#,144,B,8,6191,6192,6198,0.9966652771988328,3733,6191,Ratch,3.1,B,8,3733,True
382,722,CDN24ANXX_4#,144,C,8,9452,9451,9450,0.9972144846796658,2197,9452,Ullstorp,6.4,C,8,2197,True
63,722,CDN24ANXX_4#,144,D,8,6237,6235,6241,0.998217468805704,69,6237,Ramsta,10.3,D,8,69,True
101,722,CDN24ANXX_4#,144,E,8,6104,6091,8335,0.9991166077738516,1379,6104,Ramsta,2.6,E,8,1379,True
454,722,CDN24ANXX_4#,144,F,8,6231,9433,6069,1.0,3990,6231,Ratch,1.5,F,8,3990,True
284,722,CDN24ANXX_4#,144,G,8,6231,9433,6069,0.9987991079087322,1231,6231,Ramsta,3.5,G,8,1231,True
408,722,CDN24ANXX_4#,144,H,8,6180,7127,7413,0.998186215235792,2395,6180,Ullstorp,7.5,H,8,2395,True
141,723,CDN24ANXX_4#,144,A,9,6231,9433,6069,0.9990759990759992,1345,6231,Ramsta,2.5,A,9,1345,True
96,723,CDN24ANXX_4#,144,B,9,6191,6192,6036,0.995608899297424,21,6191,Ramsta,8.2,B,9,21,True
203,723,CDN24ANXX_4#,144,C,9,6046,6043,6900,0.9971883786316776,2286,6046,Ullstorp,2.4,C,9,2286,True
30,723,CDN24ANXX_4#,144,D,9,6231,9433,6069,0.9986898746022832,1076,6231,Adal,4.2,D,9,1076,True
239,723,CDN24ANXX_4#,144,E,9,6104,8335,6091,0.9982420554428668,1466,6104,Ramsta,2.5,E,9,1466,True
243,723,CDN24ANXX_4#,144,F,9,6046,6043,6900,0.9977898189077428,1677,6046,Adal,6.5,F,9,1677,True
84,723,CDN24ANXX_4#,144,G,9,8241,9970,9974,0.9969803724207348,2295,8241,Ullstorp,2.1,G,9,2295,True
148,723,CDN24ANXX_4#,144,H,9,6231,9433,6069,0.9983627297759916,3535,6231,Ullstorp,8.3,H,9,3535,True
369,724,CDN24ANXX_5#,144,A,10,6126,6115,6106,0.9983429991714996,1736,6126,Adal,10.1,A,10,1736,True
362,724,CDN24ANXX_5#,144,B,10,6237,6235,6071,0.9989258861439312,398,6237,Adal,5.6,B,10,398,True
178,724,CDN24ANXX_5#,144,C,10,6191,6198,6192,0.995249406175772,178,6191,Ramsta,7.5,C,10,178,True
88,724,CDN24ANXX_5#,144,D,10,6126,6106,6115,0.9987463435018804,3349,6126,Ullstorp,2.6,D,10,3349,True
361,724,CDN24ANXX_5#,144,E,10,6231,9433,6069,1.0,3159,6231,Ratch,6.1,E,10,3159,True
385,724,CDN24ANXX_5#,144,F,10,8241,9974,9970,0.9982703949264918,1550,8241,Ramsta,2.1,F,10,1550,True
24,724,CDN24ANXX_5#,144,G,10,5856,6071,6238,0.9989650175947008,1978,5856,Adal,5.4,G,10,1978,True
259,724,CDN24ANXX_5#,144,H,10,9452,9451,9450,0.999507631708518,2966,9452,Ratch,11.4,H,10,2966,True
62,726,CDN24ANXX_5#,144,A,11,6104,8335,6091,0.9977011494252872,3653,6104,Ratch,10.3,A,11,3653,True
446,726,CDN24ANXX_5#,144,B,11,6180,7127,7413,0.9966804979253112,3970,6180,Ratch,2.5,B,11,3970,True
338,726,CDN24ANXX_5#,144,C,11,9470,9970,9974,0.99659429544487,3280,9470,Ullstorp,9.1,C,11,3280,True
269,726,CDN24ANXX_5#,144,D,11,6237,6241,6235,0.998216276477146,66,6237,Ramsta,3.1,D,11,66,True
397,726,CDN24ANXX_5#,144,E,11,6191,6192,6198,0.9954934655250112,4027,6191,Ratch,4.6,E,11,4027,True
151,726,CDN24ANXX_5#,144,F,11,6126,6115,6106,0.99815469783177,2216,6126,Ullstorp,7.5,F,11,2216,True
188,726,CDN24ANXX_5#,144,G,11,6104,8335,6091,0.9978422910945468,3945,6104,Ratch,1.1,G,11,3945,True
400,726,CDN24ANXX_5#,144,H,11,9452,9451,9450,0.9993775287892936,1392,9452,Ramsta,3.1,H,11,1392,True
109,727,CDN24ANXX_5#,144,A,12,6191,6198,6192,0.9948639908693172,2300,6191,Ullstorp,9.5,A,12,2300,True
66,727,CDN24ANXX_5#,144,B,12,9452,9451,9974,0.9984307571596704,2555,9452,Ullstorp,9.1,B,12,2555,True
210,727,CDN24ANXX_5#,144,C,12,6191,6192,6198,0.9828907048008172,3832,6191,Ratch,10.3,C,12,3832,True
78,727,CDN24ANXX_5#,144,D,12,6192,6191,8427,0.994563986409966,nan,nan,nan,nan,D,12,11x3?,False
142,727,CDN24ANXX_5#,144,E,12,6104,8335,6091,0.9983290488431876,865,6104,Adal,5.1,E,12,865,True
165,727,CDN24ANXX_5#,144,F,12,9470,9974,9969,0.995085995085995,2206,9470,Ullstorp,6.4,F,12,2206,True
401,727,CDN24ANXX_5#,144,G,12,6043,6046,6900,0.9995805369127516,3891,6046,Ratch,11.6,G,12,3891,True
